EDA_ID,Year,Month,Deployment,Station,Project,Latitude,Longitude,Depth_m,Equipment make_model_serial,Hydrophone make_model_serial,Dataset timezone,Recording schedule,In-water_start,In-water_end,Dataset notes
174,2023,1,ChebH-2023-01,ChebH: Chebucto Head Revision 1 (Current),OPP-MEQ Coastal Monitoring,44.494800,-63.497700,63.800000,Ocean Instruments SoundTrap ST300 - 5941 - None,----,UTC,SoundTrap 30/30 : 1800,2023-01-12 12:24:00,2023-03-21 12:43:00,Note that for some reason the recordings stopped very shortly after recovery and resumed off-schedule about 7 minutes later. Occurred after recovery so this should not affect the in-water data.
177,2023,8,CBN-2023-08,CBN: Cape Breton North Revision 1 (Current),North Atlantic Right Whale Research Program,47.163700,-60.394100,183.000000,Ocean Instruments SoundTrap ST600-HF - 7533 - None,----,NA,NA,NA,NA,NA
178,2023,8,CSW-2023-08,CSW: Cabot Strait West Revision 1 (Current),North Atlantic Right Whale Research Program,47.378500,-60.299800,118.000000,JASCO AMAR G4-PVC-2X-6.5 - 684 - 6038232,GeoSpectrum M36-V35-100 - F000421 - None,NA,NA,NA,NA,NA
179,2023,8,CS1-2023-08,CS1: Cabot Strait 1 Revision 1 (Current),North Atlantic Right Whale Research Program,47.434700,-60.053500,460.000000,Ocean Instruments SoundTrap ST600-HF - 7526 - None,----,NA,NA,NA,NA,NA
180,2023,8,CS2-2023-08,CS2: Cabot Strait 2 Revision 1 (Current),North Atlantic Right Whale Research Program,47.490100,-59.806100,504.000000,JASCO AMAR G4-UD - 533 - 6038051,GeoSpectrum M36-V35-100 - B000876 - None,NA,NA,NA,NA,NA
181,2023,8,CS3-2023-08,CS3: Cabot Strait 3 Revision 1 (Current),North Atlantic Right Whale Research Program,47.545200,-59.561100,476.000000,Ocean Instruments SoundTrap ST600-HF - 7528 - None,----,NA,NA,NA,NA,NA
182,2023,8,GMB-2023-08,GMB: Grand Manan Basin Revision 1 (Current),North Atlantic Right Whale Research Program,44.673000,-66.530900,181.000000,Ocean Instruments SoundTrap ST600-HF - 7574 - None,----,NA,NA,NA,NA,NA
183,2023,8,ROBP-2023-08,ROBP: Roseway Basin P Revision 1 (Current),North Atlantic Right Whale Research Program,42.849400,-65.313900,147.000000,JASCO G4-UD-2channel - 774 - None,High Tech Inc HTI-99-UHF - 776091 - None,NA,NA,NA,NA,NA
184,2023,8,MGL-2023-08,MGL: Mid-Gully Canyon Revision 2 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,43.863500,-58.911500,1640.000000,JASCO AMAR G4A-AL-4X - 672 - 6038231,GeoSpectrum M36-V35-100 - F000422 - None,NA,NA,NA,NA,NA
185,2023,8,MBK-2023-08,MBK: Misaine Bank Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,45.143600,-59.715500,108.000000,JASCO AMAR G4-UD - 703 - None,GeoSpectrum M36-V35-100 - F000267 - None,NA,NA,NA,NA,NA
186,2023,8,FCM-2023-08,FCM: Fundian Channel - Mid Revision 1 (Current),Cetacean Monitoring: Marine Spatial Planning Priorities,41.769700,-65.575500,1432.000000,JASCO AMAR G4-UD - 702 - None,GeoSpectrum M36-V35-100 - A002371 - None,NA,NA,NA,NA,NA
187,2023,8,MLC-2023-08,MLC: Mid-Laurentian Channel Revision 1 (Current),Cetacean Monitoring: Species at Risk Priorities,45.438000,-57.828800,202.000000,Ocean Instruments SoundTrap ST600-HF - 7569 - None,----,NA,NA,NA,NA,NA
188,2023,8,CSE-2023-08,CSE: Cabot Strait East Revision 1 (Past),North Atlantic Right Whale Research Program,47.590100,-59.313200,189.000000,JASCO AMAR G4-PVC-2X-6.5 - 668 - 6038191,----,NA,NA,NA,NA,NA
189,2023,9,CSE-2023-09,CSE: Cabot Strait East Revision 2 (Current),North Atlantic Right Whale Research Program,47.599100,-59.328200,182.000000,JASCO AMAR G4-PVC-2X-6.5 - 668 - 6038191,----,NA,NA,NA,NA,NA
89,2022,9,ROBV-2022-09,ROBV: Roseway Basin VLA Revision 1 (Current),OPP-MEQ Science,42.908700,-65.314500,155.000000,JASCO AMAR G4-2x-PVC-4channel - 771 - None,Geospectrum M15-D35-360 - F000148 - None,NA,NA,NA,NA,NA
